,coefficient,word
0,-6.484380943678595,peopl
1,-6.66540736070707,like
2,-6.815296735638017,just
3,-6.846062095141865,thing
4,-6.88482146961038,know
5,-6.915016640179367,year
6,-6.928006183625342,think
7,-6.977121720125338,go
8,-6.978579176748143,time
9,-6.980259336027274,world
10,-7.007828113272628,want
11,-7.084077656424688,make
12,-7.0946320207346165,work
13,-7.0953702309085465,said
14,-7.10812317762149,ve
15,-7.139078325707847,say
16,-7.141046827787049,realli
17,-7.163196013488344,way
18,-7.178079329849526,don
19,-7.185590253176237,look
20,-7.204565984250472,need
21,-7.23320011889561,life
22,-7.261452148977195,use
23,-7.321088983578381,start
24,-7.32687196150238,come
25,-7.327542580395805,day
26,-7.333226292032958,actual
27,-7.348394410483232,live
28,-7.370730383822367,right
29,-7.390139583526009,school
30,-7.4025501379697705,women
31,-7.402681937742484,chang
32,-7.433645903608168,stori
33,-7.465573980052726,got
34,-7.469902425103175,kid
35,-7.474116267037157,new
36,-7.482849785679745,talk
37,-7.526074047787009,kind
38,-7.5359773122241585,feel
39,-7.540170977770828,happen
40,-7.545785867108879,countri
41,-7.546104462219629,littl
42,-7.550449305396472,human
43,-7.565640856715431,differ
44,-7.570017375948437,did
45,-7.575301256050803,learn
46,-7.593443450973881,good
47,-7.5950792022970095,love
48,-7.597430021224155,lot
49,-7.624598307933654,tell
50,-7.628706662622112,idea
51,-7.637290579517563,ask
52,-7.6478500925522725,design
53,-7.648520022395357,tri
54,-7.651852204580811,creat
55,-7.667870408009547,let
56,-7.6732206127538625,children
57,-7.675826002848632,problem
58,-7.689806873364782,mean
59,-7.692159397469593,help
60,-7.694928611534826,didn
61,-7.695646374402534,citi
62,-7.712617212594749,place
63,-7.71305137658967,girl
64,-7.718442409771008,ll
65,-7.731744245839403,went
66,-7.738784984433501,build
67,-7.758327781823919,do
68,-7.7593067713241854,percent
69,-7.76918389073604,great
70,-7.772260195705961,person
71,-7.777960970830442,famili
72,-7.78043337476179,water
73,-7.785694027066324,call
74,-7.790393474129608,believ
75,-7.804140305253101,thought
76,-7.807303198945741,technolog
77,-7.8183739052354255,communiti
78,-7.8215729730500465,experi
79,-7.824482813228635,today
80,-7.835392204303551,student
81,-7.84315155751791,power
82,-7.850079993018748,play
83,-7.852656626012362,educ
84,-7.855487219027731,book
85,-7.857289032750968,man
86,-7.857518514549045,import
87,-7.8633681114259435,question
88,-7.8669335124534046,came
89,-7.87076299123361,home
90,-7.875582833902915,understand
91,-7.885866421905821,old
92,-7.888398581296649,end
93,-7.920963840679931,food
94,-7.928536602731036,care
95,-7.929049095971715,better
96,-7.935546742011326,social
97,-7.941895878575835,turn
98,-7.943352647435173,busi
99,-7.947312095037095,men
