,coefficient,word
0,-6.413042644525197,peopl
1,-6.64610448779303,like
2,-6.796248136374773,think
3,-6.816385617285737,thing
4,-6.844721986227005,just
5,-6.902502785410631,go
6,-6.907460378208013,year
7,-6.91899035508103,know
8,-6.982900783247787,world
9,-7.00079624866974,time
10,-7.018260238967557,want
11,-7.0753240867979095,make
12,-7.084106569964426,ve
13,-7.087305074489215,look
14,-7.087859420534118,realli
15,-7.103221452055886,don
16,-7.1212573971590505,say
17,-7.152823364665535,work
18,-7.174142490312736,way
19,-7.195411849748272,need
20,-7.20543434354155,actual
21,-7.218229115945224,said
22,-7.256604637550414,use
23,-7.288176250508215,right
24,-7.355115948701153,chang
25,-7.374652928423892,come
26,-7.39169384567759,talk
27,-7.400932031681167,life
28,-7.402086562726543,live
29,-7.416950525479562,start
30,-7.417798422283147,women
31,-7.422798550297621,differ
32,-7.428815411678164,countri
33,-7.46684440300771,happen
34,-7.477894731505596,good
35,-7.481134182997369,day
36,-7.484211451664473,new
37,-7.488705155595147,problem
38,-7.499659039549762,got
39,-7.500369688428319,lot
40,-7.501498739942678,kid
41,-7.508157264882446,percent
42,-7.514120595399669,human
43,-7.558653189290768,brain
44,-7.583426719037481,school
45,-7.587532241026145,idea
46,-7.589665781035423,let
47,-7.591550382988826,kind
48,-7.592179239324887,stori
49,-7.5923588849493715,littl
50,-7.593326361683097,mean
51,-7.609093794442513,learn
52,-7.6104402442858365,tell
53,-7.621273213617858,did
54,-7.640202680120167,ask
55,-7.650047250128409,citi
56,-7.655236966097375,feel
57,-7.657719254936696,question
58,-7.672731853099626,tri
59,-7.680289828856354,children
60,-7.715091097588505,power
61,-7.73301606693139,ll
62,-7.74331077148988,money
63,-7.745247378087612,today
64,-7.7533775668131995,creat
65,-7.756480637072325,do
66,-7.760605700384896,govern
67,-7.765778311114756,person
68,-7.770820024484758,fact
69,-7.771472547530783,technolog
70,-7.77227891682166,place
71,-7.7824308391352925,understand
72,-7.786619223855444,great
73,-7.794964787447897,love
74,-7.800405649717409,state
75,-7.8022940314161735,better
76,-7.816697993650868,help
77,-7.817870211023379,didn
78,-7.81834885240591,compani
79,-7.826673768651708,build
80,-7.831354291910965,believ
81,-7.834834225830987,import
82,-7.83509498396366,educ
83,-7.841771319583387,number
84,-7.842533037186833,dollar
85,-7.85152349752259,call
86,-7.858380041281828,data
87,-7.858613403080657,social
88,-7.869767748712382,food
89,-7.874792560427213,busi
90,-7.880572538298399,experi
91,-7.8967464048988365,global
92,-7.902756069506968,exampl
93,-7.913522451028367,organ
94,-7.914275679540394,inform
95,-7.916510897636088,went
96,-7.920982465314117,health
97,-7.9230538030953745,cours
98,-7.929214175062114,car
99,-7.930211226149469,turn
