word,size
i,277
we,276
you,275
he,274
she,273
it,272
they,271
me,270
us,269
him,268
her,267
them,266
myself,265
ourselves,264
yourself,263
yourselves,262
herself,261
himself,260
itself,259
themselves,258
someone,257
anyone,256
noone,255
everyone,254
nobody,253
something,252
anything,251
nothing,250
everything,249
whoever,248
whatever,247
others,246
mine,245
ours,244
yours,243
hers,242
theirs,241
my,240
our,239
your,238
his,237
its,236
their,235
one,234
first,233
second,232
third,231
once,230
this,229
these,228
that,227
those,226
a,225
an,224
the,223
all,222
alone,221
another,220
any,219
both,218
each,217
either,216
enough,215
every,214
few,213
former,212
latter,211
last,210
least,209
less,208
lot,207
lots,206
many,205
more,204
most,203
much,202
neither,201
next,200
none,199
only,198
other,197
several,196
same,195
some,194
such,193
top,192
whole,191
and,190
but,189
or,188
nor,187
although,186
as,185
because,184
if,183
while,182
however,181
whenever,180
wherever,179
whether,178
whyever,177
thereby,176
therein,175
thereupon,174
thereafter,173
whereafter,172
whereas,171
whereby,170
wherein,169
whereupon,168
again,167
also,166
besides,165
moreover,164
namely,163
furthermore,162
hence,161
so,160
therefore,159
thus,158
else,157
instead,156
otherwise,155
after,154
afterwards,153
before,152
meanwhile,151
now,150
then,149
until,148
anyhow,147
anyway,146
despite,145
even,144
nevertheless,143
though,142
yet,141
eg,140
ie,139
per,138
re,137
etc,136
about,135
above,134
across,133
against,132
along,131
among,130
amongst,129
amoungst,128
around,127
at,126
behind,125
below,124
beside,123
between,122
beyond,121
by,120
down,119
during,118
except,117
for,116
from,115
in,114
inside,113
into,112
near,111
of,110
off,109
on,108
onto,107
outside,106
over,105
since,104
than,103
thence,102
to,101
toward,100
towards,99
under,98
up,97
upon,96
through,95
thru,94
throughout,93
via,92
with,91
within,90
without,89
am,88
are,87
is,86
was,85
were,84
be,83
been,82
being,81
became,80
have,79
has,78
had,77
do,76
does,75
did,74
done,73
will,72
shall,71
may,70
can,69
cannot,68
would,67
could,66
should,65
might,64
ought,63
need,62
must,61
used,60
dare,59
yes,58
no,57
not,56
already,55
always,54
anywhere,53
beforehand,52
elsewhere,51
ever,50
everywhere,49
formerly,48
further,47
here,46
hereafter,45
hereabouts,44
hereinafter,43
heretofore,42
herewith,41
hereunder,40
hereby,39
herein,38
hereupon,37
indeed,36
latterly,35
mostly,34
never,33
nowhere,32
often,31
oftentimes,30
out,29
perhaps,28
somehow,27
sometime,26
sometimes,25
somewhat,24
somewhere,23
still,22
there,21
thereabouts,20
thereof,19
thereon,18
together,17
well,16
almost,15
rather,14
too,13
very,12
who,11
whom,10
whose,9
what,8
which,7
when,6
where,5
why,4
how,3
whither,2
whence,1
