,coefficient,word
0,-6.55589243781439,peopl
1,-6.664003745420394,like
2,-6.7968962087597475,think
3,-6.809459007046426,thing
4,-6.835815538916844,just
5,-6.9113473786693564,go
6,-6.924468402707461,know
7,-6.995986947955204,year
8,-7.02911671691473,realli
9,-7.032587842505752,world
10,-7.05350507932944,time
11,-7.090468476517334,look
12,-7.095484553924133,want
13,-7.127907849532759,make
14,-7.1557652639790295,way
15,-7.158056482953997,ve
16,-7.180383765281711,say
17,-7.199681736373264,don
18,-7.205136647085816,work
19,-7.225421363961798,actual
20,-7.2304359739171,use
21,-7.305626990898587,need
22,-7.339838041214152,right
23,-7.3514232161766255,kind
24,-7.427532318774931,come
25,-7.429877379108689,talk
26,-7.459851789685363,life
27,-7.461371104203946,live
28,-7.462299767714766,new
29,-7.470239289856412,chang
30,-7.47951628614992,start
31,-7.507308332226927,technolog
32,-7.5135472375461365,lot
33,-7.51364365774673,said
34,-7.529668698949915,differ
35,-7.541888791855345,littl
36,-7.543554763706302,human
37,-7.546220162677329,happen
38,-7.558884593131202,got
39,-7.562465233975762,good
40,-7.571643261896694,idea
41,-7.577085336035775,countri
42,-7.587979497344179,design
43,-7.606011440019058,stori
44,-7.609911350288843,let
45,-7.622349848903092,mean
46,-7.639980791078095,problem
47,-7.645115537809932,day
48,-7.661332248668185,tri
49,-7.6625237549493095,percent
50,-7.670714424882231,build
51,-7.685215391493579,creat
52,-7.694804346600899,citi
53,-7.696437421603717,data
54,-7.701764977038233,did
55,-7.727583261270774,women
56,-7.729271181246146,today
57,-7.73427315726969,question
58,-7.735792129824214,ll
59,-7.735848925479171,tell
60,-7.769645539811502,feel
61,-7.7733249857155515,brain
62,-7.792937325160078,fact
63,-7.793424315848881,power
64,-7.7978794489925045,ask
65,-7.8086156811162875,inform
66,-7.811124557350373,love
67,-7.824839549371749,great
68,-7.832494661665837,place
69,-7.833674391154126,do
70,-7.840814160600141,kid
71,-7.854806596795088,understand
72,-7.8576798567165085,state
73,-7.86106692360341,import
74,-7.871868984511789,comput
75,-7.873834866072306,space
76,-7.881820152997662,call
77,-7.882076657683138,govern
78,-7.8853095336686705,big
79,-7.888573307342961,learn
80,-7.890353066302813,person
81,-7.8944725971062395,believ
82,-7.908439927819353,school
83,-7.91496966296221,compani
84,-7.916227844172674,better
85,-7.919350258313246,000
86,-7.927296121767203,social
87,-7.9309520272061205,energi
88,-7.935808801480222,car
89,-7.947835802420144,book
90,-7.9488690295855715,children
91,-7.949641164135919,global
92,-7.954474822002604,sort
93,-7.965115351046871,million
94,-7.97067286987013,exampl
95,-7.9714875857960585,doe
96,-7.972814969799083,help
97,-7.9779001458263705,number
98,-7.982340645504515,interest
99,-7.982637783208977,water
